Country;Degree;Names;Institution;ORCID
Peru;PhD;Omar Cáceres;Instituto Nacional de Salud;0000-0003-1529-2475
Peru;PhD;Ronnie Gavilán;Instituto Nacional de Salud;0000-0003-1437-5607
Peru;M. Sc.;Victor Jimenez Vasquez;Instituto Nacional de Salud;0000-0001-6547-6999
Peru;B. Sc.;Lesly Solis Ponce;Instituto Nacional de Salud;0000-0002-3627-0550
Peru;PhD;Edwin Mellisho Salas;Universidad Nacional Agraria La Molina;0000-0001-7171-1991
Peru;B. Sc.;Pablo Rubio Burga;Universidad Nacional Agraria La Molina;0000-0003-0648-3683
Peru;M. Sc.;Manuel Serna Chumbes;Instituto Nacional de Innovación Agraria;0000-0002-3137-8909
Peru;PhD;Michelle Chirinos-Arias;IGBM Instituto de Genética Bárbara McClintock;0000-0002-1154-2011
Peru;PhD;Dan Vivas Ruiz;Universidad Nacional Mayor de San Marcos;0000-0003-4417-2026
Peru;PhD;Gustavo Sandoval;Universidad Nacional Mayor de San Marcos;0000-0002-8392-9880
Peru;PhD;Pablo Ramirez Roca;Universidad Nacional Mayor de San Marcos;0000-0001-9309-7021
Peru;PhD;Jorge Ramirez;Universidad Nacional Mayor de San Marcos;0000-0002-9781-9092
Peru;Lic.;Kandy Leyva Silvano;Universidad Nacional Mayor de San Marcos;NA
Peru;PhD;Miguel Chávez Fumagalli;Universidad Católica de Santa María;0000-0002-8394-4802
Peru;M. Sc.;Luis Tataje Lavanda;Universidad Privada San Juan Bautista & FARVET;0000-0003-4177-3125
Peru;M. Sc.;David Castro Garro;Ministerio del Ambiente;0000-0003-3182-1744
Peru;PhD;Mirko Zimic Peralta;Universidad Peruana Cayetano Heredia;0000-0002-7203-8847
Peru;PhD;Dionicia Gamboa Vilela;Universidad Peruana Cayetano Heredia;0000-0002-1420-7729
Peru;M. Sc.;Christian Elugo Guevara;Universidad Peruana Cayetano Heredia;0000-0001-7131-3918
Peru;B. Sc.;Diego Taquiri Diaz;Universidad Peruana Cayetano Heredia;NA
Peru;PhD;Rainer Lopez Lapa;Universidad Nacional Toribio Rodriguez de Mendoza de Amazonas;0000-0002-2879-5138
Peru;PhD;Martha Calderon Rios;Universidad Nacional Toribio Rodriguez de Mendoza de Amazonas;0000-0003-3611-140X
Peru;Ing.;Karim Salazar Salinas;Tachyon Peru;0000-0003-0102-9000
USA;PhD;David Requena;New York Genome Center & New York University;0000-0002-5968-1133
USA;PhD;Edgar Gonzalez-Kozlova;Mount Sinai University;0000-0002-6948-0626
USA;PhD;Yang Joon Kim;University of California, Berkeley;0000-0003-1742-5657
USA;M. Sc.;Jorge Farfan;Columbia University;NA
USA;M. Sc.;Juan Andrade;Weill Cornell Medicine;NA
USA;M. Sc.;Pierina Danos;University of Illinois at Chicago;0000-0002-9093-4303
USA;M. Sc.;Rydberg Supo;Columbia University;0000-0003-4651-3111
USA;B. Sc.;Ana Romani;Washington University in St Louis;0000-0002-5889-2721
USA;B. Sc.;Luis Fernando Soto;The Rockefeller University & Memorial Sloan Kettering;0000-0002-6348-6437
USA;B. Sc.;Aldhair Médico;The Rockefeller University;0000-0003-1855-0855
Chile;PhD;Cesar Ramirez;Pontificia Universidad Católica de Chile;0000-0003-4647-903X
Chile;M. Sc.;Phillip Ormeño Vásquez;Pontificia Universidad Católica de Chile;0000-0002-7920-0261
Chile;PhD;Claudio Meneses Araya;Pontificia Universidad Católica de Chile;0000-0003-0581-5092
Chile;PhD;Mauricio Arenas Salinas;Universidad de Talca;0000-0001-5143-1845
Chile;PhD;Wendy Gonzalez;Universidad de Talca;0000-0002-7535-6883
Chile;PhD;Ingo Dreyer;Universidad de Talca;0000-0002-2781-0359
Chile;PhD;Braulio Valdevenito;Universidad de Talca;0000-0002-7361-2329
Chile;M. Sc.;Estanislao Márquez;Universidad de Talca & Philipps-Universität Marburg;0000-0002-4682-1969
Chile;PhD;Miguel Ángel Sánchez;ChileBio CropLife;NA
Chile;PhD;Patricio Arce;Universidad Autónoma de Chile;0000-0003-3854-1286
Chile;PhD;David Ramirez;Universidad de Concepción;0000-0003-0002-1189
Mexico;PhD;Mauricio Carrillo-Tripp;Cinvestav, Monterrey;0000-0003-0060-6486
Mexico;PhD;Daniela Robles-Espinoza;Universidad Nacional Autónoma de México;0000-0003-3277-7466
Mexico;PhD;José Medina Franco;Universidad Nacional Autónoma de México;0000-0003-4940-1107
Mexico;PhD;Alejandra Medina Rivera;Universidad Nacional Autónoma de México;0000-0002-7912-2718
España;PhD;Javier De Las Rivas;Cancer Research Center;0000-0002-0984-9946
España;PhD;Ana Conesa;Consejo Superior de Investigaciones Científicas;0000-0001-9597-311X
España;PhD;David Herreros;Universitat Oberta de Catalunya;NA
España;PhD;Adam Hospital;Bioexcel;0000-0002-8291-8071
Portugal;M. Sc.;Estefania Torrejón;Nova Medical School;0000-0001-8140-176X
Brasil;PhD;Fernando Barroso da Silva;Universidade de São Paulo;0000-0003-2526-2085
Brasil;PhD;Ruy Chacón;Universidade de São Paulo;0000-0002-1044-7450
Brasil;M. Sc.;Cleidy Osorio Mogollón;Universidade de São Paulo & BigMind;0000-0002-6984-707X
Argentina;PhD;Elizabeth Tapia;CIFASIS-Conicet-UNR;0000-0002-9363-4824
